14:51:47: Cleared Log.
10:05:31: Server Start-Up
10:09:28: Server Start-Up
10:11:41: Server Start-Up
10:12:00: Server Shut-Down
10:12:16: Server Start-Up
10:12:24: Server Shut-Down
10:28:55: Server Start-Up
11:33:03: Server Start-Up
11:33:10: /78.91.16.74 connected.
11:36:36: /78.91.16.74 disconnected.
11:56:07: Server Start-Up
11:56:25: /78.91.16.74 connected.
11:56:38: user1 logged in
11:56:46: /78.91.16.74 disconnected.
08:54:28: Server Start-Up
09:08:04: Server Start-Up
09:08:10: /78.91.19.197 connected.
09:21:00: Server Start-Up
09:21:06: /78.91.19.197 connected.
09:29:32: Server Start-Up
09:29:52: /78.91.19.197 connected.
09:31:31: /78.91.19.197 disconnected.
09:32:35: Server Start-Up
09:32:45: /78.91.19.197 connected.
09:33:42: /78.91.19.197 disconnected.
09:33:42: User Connection Error, Closed Connection.
09:36:50: Server Start-Up
09:36:56: /78.91.19.197 connected.
09:39:09: /78.91.19.197 disconnected.
09:42:57: Server Start-Up
09:43:18: /78.91.19.197 connected.
09:44:16: /78.91.19.197 disconnected.
09:44:26: Server Start-Up
09:44:34: /78.91.19.197 connected.
09:47:11: /78.91.19.197 disconnected.
09:58:45: Server Start-Up
09:58:55: /78.91.19.197 connected.
09:59:26: /78.91.19.197 disconnected.
10:05:04: Server Start-Up
10:05:11: /78.91.19.197 connected.
10:13:21: Server Start-Up
10:13:27: /78.91.19.197 connected.
10:21:07: /78.91.19.197 disconnected.
10:46:21: Server Start-Up
10:46:43: /78.91.19.197 connected.
10:50:05: /78.91.19.197 disconnected.
